
Output:
                    token                             lexeme
------------------------------------------------------------
                   separator                          $$
                   separator                          $$
                   keyword                            integer
                   identifier                         x
                   separator                          ,
                   identifier                         y
                   separator                          ;
                   separator                          $$
                   identifier                         x
                   operator                           =
                   integer                            2
                   separator                          ;
                   keyword                            scan
                   separator                          (
                   identifier                         y
                   separator                          )
                   separator                          ;
                   keyword                            if
                   separator                          (
                   identifier                         x
                   operator                           <
                   identifier                         y
                   separator                          )
                   separator                          {
                   keyword                            print
                   separator                          (
                   identifier                         x
                   separator                          )
                   separator                          ;
                   separator                          }
                   keyword                            endif
                   separator                          $$
