
Output:
                    token                             lexeme
------------------------------------------------------------
                   separator                          $$
                   separator                          $$
                   keyword                            integer
                   identifier                         i
                   separator                          ,
                   identifier                         max
                   separator                          ,
                   identifier                         sum
                   separator                          ;
                   separator                          $$
                   identifier                         sum
                   operator                           =
                   integer                            0
                   separator                          ;
                   identifier                         i
                   operator                           =
                   integer                            1
                   separator                          ;
                   separator                          $$
